JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss
NaN,3D,10,,ftc_twithreciGIF,tanh01,0.0001
NaN,3D,10,,ftc_twithreciGIF,tanh01,4e-05
NaN,3D,10,,ftc_twithreciGIF,tanh01,0.00068
NaN,3D,10,,ftd_fullreci,relu,0.00981
NaN,3D,10,,ftd_fullreci,relu,4e-05
NaN,3D,10,,ftd_fullreci,tanh01,0.00063
NaN,3D,10,,ftd_fullreci,tanh01,4e-05
NaN,3D,NaN,,ftb_catonlytGIF,relu,4e-05
NaN,3D,NaN,,ftb_catonlytGIF,relu,3e-05
NaN,3D,NaN,,ftb_catonlytGIF,relu,0.00477
NaN,3D,NaN,,ftb_catonlytGIF,relu,2e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,3e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,0.00012
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,3e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,4e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,4e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,2e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,3e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,2e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,3e-05
NaN,3D,NaN,,ftb_catonlytGIF,tanh01,2e-05
NaN,3D,NaN,,ftc_twithreciGIF,relu,2e-05
NaN,3D,NaN,,ftc_twithreciGIF,relu,6e-05
NaN,3D,NaN,,ftc_twithreciGIF,relu,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,relu,2e-05
NaN,3D,NaN,,ftc_twithreciGIF,relu,7e-05
NaN,3D,NaN,,ftc_twithreciGIF,relu,0.00078
NaN,3D,NaN,,ftc_twithreciGIF,relu,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,5e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,5e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,6e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,5e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,2e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,4e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,6e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,0.00049
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,4e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,5e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,0.00069
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,4e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,2e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,3e-05
NaN,3D,NaN,,ftc_twithreciGIF,tanh01,2e-05
NaN,Unknown,8,,fta_noFE,relu,0.00202
NaN,Unknown,8,,fta_noFE,tanh01,0.00196
NaN,Unknown,8,,ftb_catonlytGIF,tanh01,0.00177
NaN,Unknown,10,,fta_noFE,relu,0.00345
NaN,Unknown,12,,fta_noFE,relu,0.00289
NaN,Unknown,12,,fta_noFE,tanh01,0.00281
NaN,Unknown,12,,ftb_catonlytGIF,relu,0.00475
NaN,Unknown,12,,ftb_catonlytGIF,tanh01,0.00253
NaN,Unknown,12,,ftc_twithreciGIF,relu,0.0039
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
