JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss,Sfal,Pxa,Sffb,PXFCR,Fb,Mean_R2
250207020,2D,NaN,4000,ftc_twithreciGIF,tanh01,0.00118,0.958992979693145,0.969353808265735,0.935095161784879,0.902584761063583,0.988599508201514,0.950925243801771
250207021,2D,NaN,4000,ftd_fullreci,relu,0.04147,0.936273690703987,0.936871596480985,0.931682205623427,0.899033534638436,0,0.740772205489367
250207022,2D,NaN,4000,ftc_twithreciGIF,relu,0.00186,0.940854874358451,0.785603104661311,0.919959820568811,0.918816560047036,0.987970185845233,0.910640909096168
250207023,2D,NaN,4000,ftb_catonlytGIF,relu,0.04196,0.905185549821638,0.934317280716257,0.945994074141728,0.845709220576693,0,0.726241225051263
250207024,2D,NaN,4000,fta_noFE,relu,0.04213,0.934005784264382,0.90411767513582,0.930210862744344,0.856485207714296,0,0.724963905971768
250207025,2D,NaN,8000,ftb_catonlytGIF,tanh01,0.00071,0.937030786080551,0.992981351387903,0.944009526752696,0.990030891529489,0.988949174583487,0.970600346066825
250207026,2D,NaN,8000,fta_noFE,tanh01,0.00072,0.953088865007331,0.97401596005074,0.948803268412116,0.954055469623937,0.9886748048148,0.963727673581785
250207027,2D,NaN,8000,ftd_fullreci,tanh01,0.00061,0.929134249964649,0.978757814158133,0.915088462630913,0.984864554168611,0.99389502141672,0.960348020467805
250207028,2D,NaN,8000,ftc_twithreciGIF,tanh01,0.00067,0.941642473503131,0.978579748800893,0.949120685636689,0.980594238379128,0.987963836304248,0.967580196524818
250207029,2D,NaN,8000,ftd_fullreci,relu,0.0009,0.959051317610809,0.955531417356153,0.971619985070245,0.955809390346729,0.993987838792487,0.967199989835285
250207030,2D,NaN,8000,ftc_twithreciGIF,relu,0.00532,0.969286123933735,0.93151244515369,0.96217835995928,-2.22044604925031e-16,0.983715452164348,0.769338476242211
250207031,2D,NaN,8000,ftb_catonlytGIF,relu,0.00125,0.932902826999882,0.911938892477468,0.9347698532665,0.936393277603635,0.981049525296691,0.939410875128835
250207032,2D,NaN,8000,fta_noFE,relu,0.00113,0.941253596105206,0.969660485618273,0.960775490769323,0.935031737487828,0.982975530981635,0.957939368192453
250205025,2D,NaN,10000,fta_noFE,relu,0.0011,0.964277551292044,0.950242833405319,0.974323031297568,0.940189771191653,0.988954077812076,0.963597452999732
250205026,2D,NaN,10000,ftd_fullreci,relu,0.02279,3.33066907387547e-16,0.964449163701502,0.942278445773446,0.951771885188181,0.97383163678699,0.766466226290024
250205027,2D,NaN,10000,fta_noFE,tanh01,0.00098,0.937917122824055,0.985523921141633,0.95324640969712,0.968957173466657,0.993433559917692,0.967815637409431
250205028,2D,NaN,10000,ftd_fullreci,tanh01,0.00077,0.949990711654073,0.980882702274615,0.949486324924727,0.991695756388636,0.993126015120498,0.97303630207251
250205033,2D,NaN,10000,ftc_twithreciGIF,tanh01,0.00078,0.961338538071787,0.991571377578657,0.963350445472835,0.960140649856057,0.994545617195597,0.974189325634987
250205035,2D,NaN,10000,ftc_twithreciGIF,relu,0.00095,0.978945849759538,0.976456948295839,0.97143265992373,0.967289888154725,0.993674564316574,0.977559982090081
250205037,2D,NaN,10000,ftb_catonlytGIF,tanh01,0.00085,0.950452382135046,0.985919208262166,0.962191236140502,0.984667563175864,0.99063553546689,0.974773185036094
250205039,2D,NaN,10000,ftb_catonlytGIF,relu,0.00112,0.969226188665997,0.833741285980018,0.975552994181184,0.925484216447798,0.990366045863973,0.938874146227794
