JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss,R2true_SI,R2true_CX,R2true_SG,R2true_X2,R2true_CF,R2true_L2,Mean_R2
250207051,3D,6,4000,ftb_catonlytGIF,relu,0.00231,0.730824181189173,0.792577293503449,0.853270803500179,0.686367161628557,0.733072877015962,0.7278109627202,0.753987213259587
250207052,3D,6,4000,ftb_catonlytGIF,tanh01,0.00151,0.914614016827004,0.909076238230774,0.909903632792191,0.813566332499241,0.858759877547919,0.793885262244876,0.866634226690334
250207053,3D,6,4000,fta_noFE,relu,0.00244,0.736268316585963,0.912039877248971,0.888459868417512,0.642873007720088,0.738888643166272,0.798606546412856,0.786189376591944
250207054,3D,6,4000,fta_noFE,tanh01,0.0016,0.818611704812142,0.875903751080155,0.909495883158395,0.944604227257195,0.759492200738998,0.688569483503611,0.832779541758416
250207055,3D,6,4000,ftd_fullreci,relu,0.00198,0.865833093410552,0.911606566729539,0.932512433907101,0.765341455379589,0.742909599706466,0.713647102251942,0.821975041897532
250207056,3D,6,4000,ftd_fullreci,tanh01,0.00143,0.953296708711341,0.91674979241043,0.912270364494025,0.850004040296475,0.800042960942182,0.733890416950295,0.861042380634125
250207057,3D,6,8000,ftc_twithreciGIF,relu,0.00105,0.894435455692792,0.840649561097749,0.902654457149173,0.656156707055813,0.873392917756991,0.892192941651546,0.843247006734011
250207058,3D,6,8000,ftc_twithreciGIF,tanh01,0.00077,0.958747457342372,0.908119559570761,0.939034237645904,0.958898433675912,0.840533514447946,0.840403958231475,0.907622860152395
250207059,3D,6,8000,ftb_catonlytGIF,relu,0.00106,0.928539195142516,0.819021744235886,0.904576539717151,0.815516014837772,0.784602789964097,0.791750804604712,0.840667848083689
250207060,3D,6,8000,ftb_catonlytGIF,tanh01,0.00078,0.931727548119501,0.914645518993996,0.951029524177305,0.920843055770399,0.875568661427921,0.817966539534303,0.901963474670571
250207061,3D,6,8000,fta_noFE,relu,0.00119,0.839082792173816,0.925163788051033,0.880125508399657,0.724257277601499,0.831009937867867,0.866252558592762,0.844315310447773
250207062,3D,6,8000,fta_noFE,tanh01,0.00082,0.945820914252105,0.846286059848682,0.907513796682913,0.9081451458073,0.82796912178735,0.766867320601224,0.867100393163262
250207063,3D,6,8000,ftd_fullreci,relu,0.001,0.915076570837708,0.816833533623243,0.895037938734665,0.785297833273974,0.83361475271841,0.76965490916799,0.835919256392665
250207064,3D,6,8000,ftd_fullreci,tanh01,0.00075,0.965302623863566,0.89243064565964,0.93275801313393,0.922003835793522,0.821441730599627,0.755409434692153,0.881557713957073
250205002,3D,6,10000,ftc_twithreciGIF,relu,0.00084,0.918287131276468,0.881270474956721,0.924805424607892,0.855167891113163,0.856044022428977,0.810075567203558,0.874275085264463
250205005,3D,6,10000,ftc_twithreciGIF,tanh01,0.00065,0.941143735888903,0.818026066139133,0.940478113001524,0.797945509298213,0.871669553683872,0.796649506719397,0.86098541412184
250205008,3D,6,10000,ftb_catonlytGIF,relu,0.00277,0.931184830779263,0.849118922637519,0.909063983529429,2.22044604925031e-16,0.757856594590982,0.632114679991615,0.679889835254801
250205011,3D,6,10000,ftb_catonlytGIF,tanh01,0.00068,0.934850236959823,0.820541111129855,0.930615016649827,0.874294606946782,0.89368441302249,0.870366748862309,0.887392022261848
250205013,3D,6,10000,fta_noFE,relu,0.00098,0.931533970466513,0.810488199966242,0.832796171829494,0.697268458751835,0.698587270287717,0.699042168202359,0.77828603991736
250205016,3D,6,10000,fta_noFE,tanh01,0.00068,0.943589246636543,0.858418985568175,0.915649088259889,0.878083733062047,0.885803259668965,0.78709883843467,0.878107191938382
250205019,3D,6,10000,ftd_fullreci,relu,0.00085,0.899562717512726,0.889127059697203,0.894895163388195,0.794700841823837,0.664077538523068,0.671851994191633,0.802369219189443
250205022,3D,6,10000,ftd_fullreci,tanh01,0.00063,0.934226695532542,0.805783063644676,0.923752391555967,0.919863104993978,0.85442587031278,0.778947012105871,0.869499689690969
